timestamp,rpm,throttle_pct,speed_kmh
2025-11-09T02:00:00Z,7257,64.5,127.3
2025-11-09T02:00:01Z,8419,49.0,63.5
2025-11-09T02:00:02Z,4543,69.0,189.9
2025-11-09T02:00:03Z,7365,37.4,100.8
2025-11-09T02:00:04Z,5594,96.1,155.3
2025-11-09T02:00:05Z,6510,33.5,195.8
2025-11-09T02:00:06Z,8515,79.7,135.5
2025-11-09T02:00:07Z,7107,26.4,71.1
2025-11-09T02:00:08Z,4673,39.8,175.0
2025-11-09T02:00:09Z,7626,71.3,55.4
2025-11-09T02:00:10Z,6500,77.6,144.2
2025-11-09T02:00:11Z,7290,48.3,81.8
2025-11-09T02:00:12Z,7705,82.7,153.8
2025-11-09T02:00:13Z,6562,49.5,64.8
2025-11-09T02:00:14Z,4587,53.6,199.1
2025-11-09T02:00:15Z,5957,51.8,166.9
2025-11-09T02:00:16Z,5035,39.6,189.7
2025-11-09T02:00:17Z,5450,59.0,161.5
2025-11-09T02:00:18Z,7176,97.0,152.2
2025-11-09T02:00:19Z,5536,74.0,84.3
2025-11-09T02:00:20Z,8712,71.7,70.5
2025-11-09T02:00:21Z,7100,40.4,107.4
2025-11-09T02:00:22Z,5780,70.6,144.3
2025-11-09T02:00:23Z,7134,41.3,195.9
2025-11-09T02:00:24Z,8499,58.5,171.5
2025-11-09T02:00:25Z,5597,96.1,171.8
2025-11-09T02:00:26Z,7491,59.8,161.9
2025-11-09T02:00:27Z,8104,29.4,179.9
2025-11-09T02:00:28Z,4680,45.0,169.3
2025-11-09T02:00:29Z,8271,47.9,120.1
2025-11-09T02:00:30Z,4791,34.4,140.4
2025-11-09T02:00:31Z,5012,84.7,85.5
2025-11-09T02:00:32Z,4694,94.6,59.8
2025-11-09T02:00:33Z,7610,32.0,85.0
2025-11-09T02:00:34Z,7794,26.9,170.5
2025-11-09T02:00:35Z,5701,66.8,59.2
2025-11-09T02:00:36Z,8740,53.7,54.9
2025-11-09T02:00:37Z,5910,58.3,166.9
2025-11-09T02:00:38Z,4358,33.6,179.5
2025-11-09T02:00:39Z,8352,38.5,141.2
2025-11-09T02:00:40Z,5178,70.3,173.2
2025-11-09T02:00:41Z,8014,57.6,96.6
2025-11-09T02:00:42Z,5689,87.4,182.4
2025-11-09T02:00:43Z,4774,55.6,188.0
2025-11-09T02:00:44Z,5000,28.6,76.2
2025-11-09T02:00:45Z,6573,32.8,195.0
2025-11-09T02:00:46Z,8613,68.1,63.8
2025-11-09T02:00:47Z,8723,60.8,90.2
2025-11-09T02:00:48Z,4918,61.0,105.5
2025-11-09T02:00:49Z,4809,37.4,63.6
2025-11-09T02:00:50Z,8050,86.7,178.9
2025-11-09T02:00:51Z,4956,84.0,173.2
2025-11-09T02:00:52Z,7338,27.3,110.6
2025-11-09T02:00:53Z,7509,97.2,172.1
2025-11-09T02:00:54Z,7325,26.4,53.0
2025-11-09T02:00:55Z,5176,73.3,132.2
2025-11-09T02:00:56Z,5490,37.7,130.7
2025-11-09T02:00:57Z,6757,49.3,179.0
2025-11-09T02:00:58Z,6033,76.5,64.3
2025-11-09T02:00:59Z,7104,81.2,170.4
