timestamp,rpm,throttle_pct,speed_kmh
2025-11-10T15:45:00Z,5572,70.5,37.1
2025-11-10T15:45:01Z,8907,30.2,67.2
2025-11-10T15:45:02Z,9841,71.0,63.5
2025-11-10T15:45:03Z,9071,44.0,52.5
2025-11-10T15:45:04Z,4994,50.8,103.7
2025-11-10T15:45:05Z,7918,66.4,27.0
2025-11-10T15:45:06Z,6751,91.4,94.1
2025-11-10T15:45:07Z,5096,29.7,28.4
2025-11-10T15:45:08Z,9511,24.4,97.7
2025-11-10T15:45:09Z,8803,56.7,47.3
2025-11-10T15:45:10Z,6536,41.8,94.1
2025-11-10T15:45:11Z,7270,66.5,46.6
2025-11-10T15:45:12Z,6413,70.8,42.6
2025-11-10T15:45:13Z,6856,73.2,62.3
2025-11-10T15:45:14Z,7228,65.7,79.8
2025-11-10T15:45:15Z,8937,84.7,108.6
2025-11-10T15:45:16Z,9537,59.5,91.3
2025-11-10T15:45:17Z,5712,67.7,107.2
2025-11-10T15:45:18Z,9518,24.4,29.9
2025-11-10T15:45:19Z,6389,29.1,72.7
2025-11-10T15:45:20Z,7138,99.8,102.4
2025-11-10T15:45:21Z,9223,67.6,107.4
2025-11-10T15:45:22Z,8006,35.3,104.6
2025-11-10T15:45:23Z,7189,51.0,93.6
2025-11-10T15:45:24Z,5961,83.4,26.1
2025-11-10T15:45:25Z,7116,44.3,58.3
2025-11-10T15:45:26Z,9799,90.0,47.6
2025-11-10T15:45:27Z,9043,50.6,42.9
2025-11-10T15:45:28Z,7303,35.7,60.9
2025-11-10T15:45:29Z,7600,37.5,38.4
2025-11-10T15:45:30Z,8775,75.2,29.4
2025-11-10T15:45:31Z,5804,61.5,43.3
2025-11-10T15:45:32Z,8260,32.0,101.5
2025-11-10T15:45:33Z,6562,52.3,73.6
2025-11-10T15:45:34Z,9910,72.5,68.9
2025-11-10T15:45:35Z,8128,84.3,53.5
2025-11-10T15:45:36Z,5163,43.1,34.6
2025-11-10T15:45:37Z,5343,44.9,48.2
2025-11-10T15:45:38Z,9409,32.0,89.3
2025-11-10T15:45:39Z,5735,73.1,61.3
2025-11-10T15:45:40Z,8847,43.0,106.0
2025-11-10T15:45:41Z,9416,24.9,43.5
2025-11-10T15:45:42Z,5147,32.7,52.3
2025-11-10T15:45:43Z,7486,94.3,108.2
2025-11-10T15:45:44Z,5714,37.9,75.2
2025-11-10T15:45:45Z,7053,67.4,91.2
2025-11-10T15:45:46Z,8353,69.8,60.6
2025-11-10T15:45:47Z,8433,59.1,25.7
2025-11-10T15:45:48Z,4961,93.5,25.8
2025-11-10T15:45:49Z,8405,95.0,69.2
2025-11-10T15:45:50Z,9945,65.1,78.0
2025-11-10T15:45:51Z,6093,63.3,27.7
2025-11-10T15:45:52Z,5938,93.4,101.8
2025-11-10T15:45:53Z,9586,48.8,79.4
2025-11-10T15:45:54Z,7387,69.5,84.3
2025-11-10T15:45:55Z,6228,94.5,49.9
2025-11-10T15:45:56Z,5305,95.8,62.8
2025-11-10T15:45:57Z,9389,81.4,64.2
2025-11-10T15:45:58Z,8354,89.4,30.7
2025-11-10T15:45:59Z,7099,33.3,71.8
